iter	Passed	Remaining
404	6988	10267
405	7002	10245
406	7017	10223
407	7031	10202
408	7045	10180
409	7059	10158
410	7077	10142
411	7097	10130
412	7118	10117
413	7135	10100
414	7151	10081
415	7167	10062
416	7183	10042
417	7200	10025
418	7217	10007
419	7233	9989
420	7249	9969
421	7262	9947
422	7277	9926
423	7291	9905
424	7305	9883
425	7318	9861
426	7335	9843
427	7349	9822
428	7367	9805
429	7382	9786
430	7396	9765
431	7411	9744
432	7427	9726
433	7442	9705
434	7456	9685
435	7472	9666
436	7487	9646
437	7502	9626
438	7516	9605
439	7534	9589
440	7549	9568
441	7565	9551
442	7582	9533
443	7596	9513
444	7611	9493
445	7627	9475
446	7644	9457
447	7660	9438
448	7675	9419
449	7691	9400
450	7709	9385
451	7727	9368
452	7744	9351
453	7763	9336
454	7782	9321
455	7801	9306
456	7818	9289
457	7834	9271
458	7852	9255
459	7871	9240
460	7890	9225
461	7905	9206
462	7920	9186
463	7935	9167
464	7951	9147
465	7968	9130
466	7983	9112
467	8000	9095
468	8020	9080
469	8038	9064
470	8058	9050
471	8077	9035
472	8093	9017
473	8108	8997
474	8124	8979
475	8139	8959
476	8154	8941
477	8171	8923
478	8187	8904
479	8202	8886
480	8220	8869
481	8237	8852
482	8253	8834
483	8270	8816
484	8285	8798
485	8300	8778
486	8315	8759
487	8330	8740
488	8345	8720
489	8362	8704
490	8377	8684
491	8395	8668
492	8410	8649
493	8425	8630
494	8441	8611
495	8457	8594
496	8472	8574
497	8491	8559
498	8505	8539
499	8519	8519
500	8534	8500
501	8548	8480
502	8562	8460
503	8577	8441
504	8592	8422
505	8607	8403
506	8624	8385
507	8640	8368
508	8655	8349
509	8670	8330
510	8684	8310
511	8698	8291
512	8713	8271
513	8727	8252
514	8742	8233
515	8759	8215
516	8774	8197
517	8790	8179
518	8805	8160
519	8820	8141
520	8835	8122
521	8850	8104
522	8865	8085
523	8879	8066
524	8894	8047
525	8909	8028
526	8926	8011
527	8941	7993
528	8958	7975
529	8972	7957
530	8990	7940
531	9010	7926
532	9025	7908
533	9039	7888
534	9057	7872
535	9073	7854
536	9087	7835
537	9101	7815
538	9115	7796
539	9130	7778
540	9146	7760
541	9162	7742
542	9176	7723
543	9191	7704
544	9208	7687
545	9223	7669
546	9237	7650
547	9253	7632
548	9267	7613
549	9283	7595
550	9298	7576
551	9313	7559
552	9332	7543
553	9351	7528
554	9369	7512
555	9387	7496
556	9404	7479
557	9419	7461
558	9436	7444
559	9453	7427
560	9470	7410
561	9485	7392
562	9503	7376
563	9518	7358
564	9533	7339
565	9547	7321
566	9562	7302
567	9576	7283
568	9591	7265
569	9607	7248
570	9621	7228
571	9636	7210
572	9653	7193
573	9669	7176
574	9683	7157
575	9698	7139
576	9712	7120
577	9729	7103
578	9745	7086
579	9760	7067
580	9774	7049
581	9791	7032
582	9806	7014
583	9819	6995
584	9834	6976
585	9849	6958
586	9863	6939
587	9879	6922
588	9893	6903
589	9908	6885
590	9923	6867
591	9939	6850
592	9954	6832
593	9972	6816
594	9992	6801
595	10010	6785
596	10028	6769
597	10046	6753
598	10065	6738
599	10081	6720
600	10099	6705
601	10115	6687
602	10131	6670
603	10147	6652
604	10162	6634
605	10176	6616
606	10190	6598
607	10209	6582
608	10227	6566
609	10243	6548
610	10258	6531
611	10282	6518
612	10296	6500
613	10310	6481
614	10325	6463
615	10338	6445
616	10357	6429
617	10372	6411
618	10387	6393
619	10401	6374
620	10415	6356
621	10429	6338
622	10444	6320
623	10459	6302
624	10474	6284
625	10489	6266
626	10505	6249
627	10520	6231
628	10537	6214
629	10552	6197
630	10569	6180
631	10583	6162
632	10599	6145
633	10613	6127
634	10629	6109
635	10644	6092
636	10662	6076
637	10677	6058
638	10692	6040
639	10708	6023
640	10723	6005
641	10739	5988
642	10754	5971
643	10772	5954
644	10787	5937
645	10804	5920
646	10819	5902
647	10833	5884
648	10850	5868
649	10864	5849
650	10878	5831
651	10892	5813
652	10908	5796
653	10923	5778
654	10938	5761
655	10955	5744
656	10972	5728
657	10987	5710
658	11002	5693
659	11017	5675
660	11031	5657
661	11047	5640
662	11063	5623
663	11079	5606
664	11095	5589
665	11111	5572
666	11126	5554
667	11140	5536
668	11154	5518
669	11168	5500
670	11185	5484
671	11201	5467
672	11215	5449
673	11230	5431
674	11245	5414
675	11262	5397
676	11276	5379
677	11292	5363
678	11306	5345
679	11323	5328
680	11338	5311
681	11354	5294
682	11369	5276
683	11383	5258
684	11398	5241
685	11413	5224
686	11427	5206
687	11443	5189
688	11459	5172
689	11475	5155
690	11492	5139
691	11509	5122
692	11524	5105
693	11540	5088
694	11556	5071
695	11572	5054
696	11590	5038
697	11611	5023
698	11630	5008
699	11652	4993
700	11672	4978
701	11689	4962
702	11708	4946
703	11727	4930
704	11747	4915
705	11763	4898
706	11779	4881
707	11795	4865
708	11815	4849
709	11832	4832
710	11848	4816
711	11866	4799
712	11884	4783
713	11901	4767
714	11918	4750
715	11934	4733
716	11954	4718
717	11970	4701
718	11987	4684
719	12003	4668
720	12020	4651
721	12039	4635
722	12055	4618
723	12072	4602
724	12090	4585
725	12108	4569
726	12123	4552
727	12140	4536
728	12157	4519
729	12178	4504
730	12199	4489
731	12215	4472
732	12232	4455
733	12249	4439
734	12267	4423
735	12285	4406
736	12304	4390
737	12325	4375
738	12342	4359
739	12358	4342
740	12373	4324
741	12390	4308
742	12405	4291
743	12421	4274
744	12435	4256
745	12450	4239
746	12468	4222
