iter	Logloss
0	0.6849196021
1	0.6775048723
2	0.6708217484
3	0.6648115874
4	0.6594196408
5	0.6545659217
6	0.6502083371
7	0.6462689435
8	0.6427396912
9	0.6395633483
10	0.6367048799
11	0.6341316192
12	0.6318146139
13	0.6297306065
14	0.6278296972
15	0.6261342782
16	0.6245979267
17	0.6232155423
18	0.6219723682
19	0.6208592197
20	0.6198610484
21	0.6189462929
22	0.6181298297
23	0.6173913971
24	0.616729804
25	0.6161326255
26	0.6155940431
27	0.6151002509
28	0.6146537848
29	0.6142444291
30	0.6138763473
31	0.6135582495
32	0.6132466686
33	0.612975866
34	0.6127064821
35	0.6124700941
36	0.6122571371
37	0.6120662368
38	0.6118832232
39	0.611719559
40	0.6115746193
41	0.6114410411
42	0.6113087217
43	0.6111935323
44	0.611075477
45	0.6109765736
46	0.6108718272
47	0.610770379
48	0.6106746216
49	0.6105959748
50	0.6105512703
51	0.6104583063
52	0.6103930987
53	0.6103344376
54	0.6102935215
55	0.6102631677
56	0.6101946374
57	0.6101390003
58	0.6100922921
59	0.6100296495
60	0.6099866736
61	0.6099492949
62	0.6099014118
63	0.6098582785
64	0.6097987634
65	0.6097435374
66	0.6096900012
67	0.6096326544
68	0.6095950865
69	0.6095519456
70	0.6094955162
71	0.6094315109
72	0.6093893702
73	0.6093517997
74	0.6093125893
75	0.6092441986
76	0.6091872154
77	0.6091143544
78	0.6090742879
79	0.6090390557
80	0.6089935768
81	0.6089502522
82	0.6089144645
83	0.6088784774
84	0.6088260415
85	0.6087898047
86	0.6087343034
87	0.6086915508
88	0.6086445968
89	0.6086138185
90	0.6085821637
91	0.6085509371
92	0.6084921706
93	0.608462542
94	0.6084189966
95	0.6083705241
96	0.6083347145
97	0.6083046295
98	0.6082605736
99	0.6082095425
100	0.6081565199
101	0.6081055824
102	0.6080671608
103	0.6080398376
104	0.608010938
105	0.6079824431
106	0.6079530671
107	0.6079202968
108	0.607872783
109	0.6078329616
110	0.6077992657
111	0.6077698596
112	0.6077216751
113	0.6076745432
114	0.6076299227
115	0.6075995159
116	0.6075622905
117	0.6075134379
118	0.6074709833
119	0.6074523235
120	0.607422156
121	0.6073884186
122	0.6073544572
123	0.6073040338
124	0.6072591765
125	0.6072345851
126	0.6071698683
127	0.6071517525
128	0.6071156698
129	0.607074394
130	0.6070478812
131	0.6069757968
132	0.606920084
133	0.606893805
134	0.6068635933
135	0.6068394668
136	0.6067951892
137	0.6067674764
138	0.6067442588
139	0.6067202452
140	0.6066982267
141	0.606657645
142	0.6066363216
143	0.6065902598
144	0.6065705062
145	0.6065386848
146	0.606501472
147	0.6064582104
148	0.6064148947
149	0.6063823187
150	0.606348521
151	0.6063052266
152	0.606269267
153	0.6062330967
154	0.6062075933
155	0.6061593401
156	0.6061231537
157	0.6060705657
158	0.6060600394
159	0.606040363
160	0.6059869211
161	0.6059585967
162	0.6059213321
163	0.6058732439
164	0.6058260971
165	0.6058000108
166	0.6057536951
167	0.6057105555
168	0.6056789091
169	0.6056513831
170	0.6056367497
171	0.6055848485
172	0.6055367009
173	0.6055192937
174	0.6054883555
175	0.605437412
176	0.6054024249
177	0.6053664108
178	0.6053409054
179	0.6053178599
180	0.6052575314
181	0.6052428627
182	0.6051979102
183	0.6051539205
184	0.605116987
185	0.6050946023
186	0.6050479124
187	0.6050187131
188	0.6050042788
189	0.6049701096
190	0.6049335431
191	0.6049014905
192	0.6048715074
193	0.6048282804
194	0.6047910905
195	0.6047598848
196	0.6046991767
197	0.604675598
198	0.6046487755
199	0.6046200094
200	0.6045843665
201	0.6045508972
202	0.6045161705
203	0.6044724109
204	0.6044386762
205	0.6043970189
206	0.6043542629
207	0.6043167155
208	0.6042871745
209	0.6042441557
210	0.604224904
211	0.6041842469
212	0.604153188
213	0.6041170404
214	0.6040790276
215	0.6040307497
216	0.6039860029
217	0.6039602243
218	0.6039041725
219	0.603867244
220	0.6038293819
221	0.6037886727
222	0.6037647595
223	0.6037234056
224	0.6036923378
225	0.6036647478
226	0.6036277268
227	0.6036161252
228	0.6035891382
229	0.6035462953
230	0.6035016992
231	0.6034780754
232	0.6034624214
233	0.6034099868
234	0.6033786201
235	0.6033324048
236	0.6032920662
237	0.6032420406
238	0.6032077675
239	0.6031627846
240	0.6031237893
241	0.6030780881
242	0.6030296877
243	0.602988568
244	0.6029686864
245	0.6029331771
246	0.6028895619
247	0.6028628474
248	0.6028113542
249	0.6027669161
250	0.6027037194
251	0.6026577133
252	0.6026167844
253	0.6025775466
254	0.6025169633
255	0.602463924
256	0.6024377319
257	0.6023819684
258	0.602319942
259	0.6022942466
260	0.6022524423
261	0.6022068535
262	0.6021729167
263	0.6021357729
264	0.6021155077
265	0.6020664366
266	0.6020247933
267	0.6019655006
268	0.6019360438
269	0.601879043
270	0.6018375081
271	0.601782153
272	0.6017413614
273	0.6016914127
274	0.6016549333
275	0.601606767
276	0.6015637553
277	0.6015269876
278	0.6015140405
279	0.6014530773
280	0.6013985404
281	0.6013639223
282	0.6013096631
283	0.6012602755
284	0.6012031343
285	0.6011484504
286	0.6011364674
287	0.6010978026
288	0.6010758916
289	0.6010205856
290	0.6009922321
291	0.6009433349
292	0.6008923844
293	0.6008637106
294	0.6008221012
295	0.6007763014
296	0.6007254911
297	0.6006990229
298	0.6006752332
299	0.600636207
