iter	Passed	Remaining
401	16362	24339
402	16397	24291
403	16430	24239
404	16468	24195
405	16507	24150
406	16543	24104
407	16583	24061
408	16621	24018
409	16658	23972
410	16695	23925
411	16732	23880
412	16766	23831
413	16805	23787
414	16844	23744
415	16887	23707
416	16928	23667
417	16970	23629
418	17008	23584
419	17044	23537
420	17086	23498
421	17124	23454
422	17160	23408
423	17197	23362
424	17236	23320
425	17276	23278
426	17317	23238
427	17356	23195
428	17391	23148
429	17432	23108
430	17472	23066
431	17510	23023
432	17550	22981
433	17588	22938
434	17625	22893
435	17665	22851
436	17706	22811
437	17742	22765
438	17779	22720
439	17815	22674
440	17852	22629
441	17892	22588
442	17930	22544
443	17967	22500
444	18004	22455
445	18043	22412
446	18086	22374
447	18126	22334
448	18164	22291
449	18205	22250
450	18245	22210
451	18290	22175
452	18330	22134
453	18369	22091
454	18408	22050
455	18449	22009
456	18490	21970
457	18531	21930
458	18574	21892
459	18612	21849
460	18653	21809
461	18695	21771
462	18739	21735
463	18779	21694
464	18821	21654
465	18867	21620
466	18905	21577
467	18943	21534
468	18982	21491
469	19021	21449
470	19066	21414
471	19102	21369
472	19146	21332
473	19189	21294
474	19226	21250
475	19269	21212
476	19322	21186
477	19365	21147
478	19407	21109
479	19451	21072
480	19497	21037
481	19540	21000
482	19586	20965
483	19627	20925
484	19674	20891
485	19719	20855
486	19758	20813
487	19798	20772
488	19841	20733
489	19881	20693
490	19921	20652
491	19963	20612
492	20004	20572
493	20045	20532
494	20085	20491
495	20127	20452
496	20166	20410
497	20204	20366
498	20247	20328
499	20289	20289
500	20330	20249
501	20371	20209
502	20411	20168
503	20452	20127
504	20490	20084
505	20532	20045
506	20575	20007
507	20615	19966
508	20662	19932
509	20707	19895
510	20753	19860
511	20798	19823
512	20841	19785
513	20878	19741
514	20921	19702
515	20958	19658
516	20992	19612
517	21028	19567
518	21067	19525
519	21103	19480
520	21138	19434
521	21175	19390
522	21214	19348
523	21251	19304
524	21287	19260
525	21323	19215
526	21364	19175
527	21396	19127
528	21434	19084
529	21474	19043
530	21511	18999
531	21547	18955
532	21582	18910
533	21619	18866
534	21657	18823
535	21694	18780
536	21730	18735
537	21770	18695
538	21814	18657
539	21853	18615
540	21889	18571
541	21926	18528
542	21964	18485
543	22003	18444
544	22041	18401
545	22074	18354
546	22113	18312
547	22148	18268
548	22184	18224
549	22223	18182
550	22260	18139
551	22298	18097
552	22335	18053
553	22372	18011
554	22409	17967
555	22446	17924
556	22480	17879
557	22516	17835
558	22552	17791
559	22589	17748
560	22626	17706
561	22662	17662
562	22697	17617
563	22733	17574
564	22769	17530
565	22803	17485
566	22840	17442
567	22877	17399
568	22912	17355
569	22948	17312
570	22985	17269
571	23026	17229
572	23060	17185
573	23096	17141
574	23134	17099
575	23171	17056
576	23208	17014
577	23243	16969
578	23281	16928
579	23316	16884
580	23351	16840
581	23383	16794
582	23420	16751
583	23453	16706
584	23489	16663
585	23525	16620
586	23562	16578
587	23595	16533
588	23634	16492
589	23671	16449
590	23707	16406
591	23741	16362
592	23778	16319
593	23813	16276
594	23851	16235
595	23889	16193
596	23927	16151
597	23962	16108
598	23996	16064
599	24033	16022
600	24069	15979
601	24112	15941
602	24151	15900
603	24190	15859
604	24232	15821
605	24274	15782
606	24314	15742
607	24358	15704
608	24400	15666
