iter	Logloss
0	0.6821782979
1	0.6726443848
2	0.6643811732
3	0.6572272771
4	0.6510521888
5	0.645701578
6	0.6410786766
7	0.6370606957
8	0.6335877781
9	0.6305761867
10	0.6279638754
11	0.6256961231
12	0.6237260843
13	0.622017101
14	0.6204999443
15	0.6191983409
16	0.6180554734
17	0.617059412
18	0.6161965969
19	0.6154529827
20	0.6148074423
21	0.6142279609
22	0.6137332661
23	0.6133013649
24	0.6129321105
25	0.6125998113
26	0.6123237925
27	0.6120536605
28	0.6118147256
29	0.6116156149
30	0.6114428308
31	0.6113042069
32	0.6111639364
33	0.6110383652
34	0.6109092649
35	0.6107838561
36	0.6107050654
37	0.6105952918
38	0.6104997236
39	0.610418574
40	0.6103531042
41	0.6102826264
42	0.610196951
43	0.6101280153
44	0.6100688004
45	0.6100036255
46	0.6099338267
47	0.6098508915
48	0.6097982678
49	0.6097329808
50	0.6096605081
51	0.6095920597
52	0.6095649587
53	0.6095129779
54	0.609448889
55	0.6093810619
56	0.6093358893
57	0.6092853346
58	0.6092284781
59	0.6091828555
60	0.6091349333
61	0.609074831
62	0.6089954434
63	0.6089443346
64	0.6088921357
65	0.608831862
66	0.6087752012
67	0.608702104
68	0.6086680925
69	0.6086226992
70	0.6085746213
71	0.608549088
72	0.608495474
73	0.6084529879
74	0.6084024459
75	0.6083408135
76	0.6082868242
77	0.6082134311
78	0.6081855364
79	0.6081303713
80	0.6080759419
81	0.6080348779
82	0.6079795344
83	0.6079281685
84	0.6078745279
85	0.6078188901
86	0.6077621471
87	0.6077193894
88	0.6076692186
89	0.6076237079
90	0.6075769489
91	0.6075432321
92	0.6074775672
93	0.6074490804
94	0.607427855
95	0.6073817982
96	0.6073259712
97	0.6072759574
98	0.6072374314
99	0.6071681415
100	0.6071137375
101	0.6070680675
102	0.6070231159
103	0.6069607888
104	0.6069107731
105	0.606897213
106	0.6068671858
107	0.6068449303
108	0.606791827
109	0.6067512142
110	0.6066775713
111	0.6066252504
112	0.606603581
113	0.606565811
114	0.6064875798
115	0.606427049
116	0.6063961334
117	0.6063524937
118	0.6063056717
119	0.6062412171
120	0.6062142352
121	0.6061823476
122	0.6061474877
123	0.6061117256
124	0.6060554347
125	0.6059953866
126	0.6059529789
127	0.6059030731
128	0.6058300106
129	0.6057762705
130	0.6057124288
131	0.6056502154
132	0.6056179662
133	0.605559109
134	0.6055124426
135	0.6054576644
136	0.6054012251
137	0.6053634028
138	0.6053327924
139	0.6052974837
140	0.6052305025
141	0.6051829092
142	0.6051487431
143	0.6051287367
144	0.6051082016
145	0.6050587139
146	0.6050400647
147	0.6049613807
148	0.6049231134
149	0.6048903238
150	0.6048385837
151	0.6047563511
152	0.6046642012
153	0.6046225047
154	0.6045693791
155	0.6045442296
156	0.6044845925
157	0.6044181956
158	0.6043821436
159	0.6043114434
160	0.6042673992
161	0.604226913
162	0.6041841092
163	0.6041678865
164	0.6041156013
